variables,importance_mN1p0_ctau10
C_Hnl_vertex_cos2D,0.36235586
C_Hnl_vertex_2DSig_BS,0.12862659
C_pi_BS_ip_xy,0.10431638
C_mu_Hnl_BS_ips_xy,0.102676146
C_Ds_vertex_cos2D,0.05984641
C_mu_Ds_BS_ips_xy,0.055737995
C_mu_Ds_pt,0.047378037
C_mu1mu2_dr,0.042568225
C_Ds_pt,0.026798243
C_Hnl_vertex_cos3D,0.024087725
C_mu2pi_dr,0.019703567
C_Ds_vertex_prob,0.013164628
C_mu_Hnl_pt,0.012740163
C_Hnl_vertex_prob,0.0
C_pi_BS_ips_xy,0.0
C_pi_pt,0.0
