variables,importance_mN1p0_ctau10
C_Hnl_vertex_cos2D,0.25902647
C_mu_Ds_BS_ips_xy,0.1343849
C_mu_Hnl_pt,0.13006178
C_Hnl_vertex_2DSig_BS,0.07777182
C_pi_BS_ip_xy,0.06681284
C_mu1mu2_dr,0.05752026
C_Ds_vertex_prob,0.04155655
C_pi_BS_ips_xy,0.03961405
C_Ds_vertex_cos2D,0.03633891
C_mu2pi_dr,0.034627594
C_Ds_pt,0.028003654
C_Hnl_vertex_prob,0.02605029
C_Hnl_vertex_cos3D,0.0225173
C_mu_Hnl_BS_ips_xy,0.017923297
C_pi_pt,0.017810617
C_mu_Ds_pt,0.00997974
