variables,importance_mN1p8_ctau10
C_mu_Ds_pt,0.36611447
C_Hnl_vertex_cos2D,0.23988967
C_mu_Ds_BS_ips_xy,0.17607482
C_mu1mu2_dr,0.08369602
C_Ds_pt,0.05278319
C_Hnl_vertex_2DSig_BS,0.02849289
C_pi_pt,0.018329894
C_Hnl_vertex_prob,0.011515651
C_mu_Hnl_pt,0.011305891
C_Ds_vertex_prob,0.007967683
C_Ds_vertex_cos2D,0.0028419644
C_mu_Hnl_BS_ips_xy,0.0009878369
C_Hnl_vertex_cos3D,0.0
C_pi_BS_ip_xy,0.0
C_pi_BS_ips_xy,0.0
C_mu2pi_dr,0.0
