bin_center,tp,fp,tn,fn,test_sig_hist,test_bkg_hist,train_sig_hist,train_bkg_hist,sig,acc
0.0033333334,1958.0,2565.4601300079003,0.0,0.0,2.0,1840.2504909909217,13.0,7363.860711908906,29.112352695529943,0.4328544838962868
0.01,1956.0,725.2096390169786,1840.2504909909217,2.0,1.0,201.6630343526716,12.0,810.4209863516696,37.77491227439154,0.8392359790699186
0.016666666,1955.0,523.5466046643069,2041.9135253435932,3.0,0.0,101.09892299014076,11.0,406.8102971830659,39.26885307354288,0.8835964970330384
0.023333333,1955.0,422.4476816741662,2143.012448333734,3.0,1.0,58.20022533250034,3.0,247.43097626335185,40.09509782687754,0.9059464061920618
0.030000001,1954.0,364.2474563416658,2201.2126736662344,4.0,1.0,40.234025340954304,3.0,163.14650712047236,40.583048158674174,0.9185916431762554
0.03666667,1953.0,324.01343100071153,2241.4466990071887,5.0,0.0,29.374101419168476,5.0,120.90793183758647,40.92789862890029,0.9272650976145252
0.043333333,1953.0,294.63932958154305,2270.820800426357,5.0,0.0,22.707012180658708,6.0,91.49680947642234,41.194471155460306,0.9337588215724983
0.05,1953.0,271.93231740088436,2293.5278126070157,5.0,0.0,18.537698292624018,2.0,71.40242379585887,41.40414693722604,0.9387786540741765
0.056666665,1953.0,253.39461910826034,2312.06551089964,5.0,0.0,15.422952930724858,3.0,61.2602986454977,41.57771791569655,0.9428767775813669
0.06333333,1953.0,237.9716661775355,2327.4884638303647,5.0,1.0,11.462638031345833,2.0,49.84626552568461,41.72380073765763,0.9462863252478559
0.07,1952.0,226.50902814618962,2338.9511018617104,6.0,0.0,11.086039957626792,2.0,43.55809749675829,41.821550634747176,0.9485992975590162
0.07666667,1952.0,215.42298818856287,2350.037141819337,6.0,1.0,8.65357652075693,0.0,38.278228201009114,41.92836966341288,0.9510500851505954
0.08333333,1951.0,206.76941166780594,2358.690718340094,7.0,1.0,8.425808442637699,3.0,34.8727828548796,42.000528308005414,0.9527420590601221
0.09,1950.0,198.34360322516824,2367.116526782732,8.0,0.0,7.749978960279648,3.0,31.02863768699394,42.07099077735975,0.9543836803476351
0.096666664,1950.0,190.59362426488858,2374.8665057430117,8.0,0.0,6.943919263251097,2.0,27.47898433834467,42.147080584611714,0.9560969659161024
0.10333334,1950.0,183.64970500163747,2381.810425006263,8.0,0.0,5.580287402122756,1.0,26.300924049641985,42.215608279657296,0.9576320561045151
0.11,1950.0,178.06941759951474,2387.3907124083853,8.0,0.0,5.073631241914068,1.0,23.258194102207412,42.27092155894983,0.9588656885986104
0.11666667,1950.0,172.99578635760065,2392.4643436502993,8.0,0.0,5.50101933339681,5.0,20.92525157748126,42.32140189591874,0.9599873147644423
0.123333335,1950.0,167.49476702420384,2397.965362983696,8.0,1.0,4.867755114486979,2.0,20.511716122900296,42.37633942055602,0.9612034234899077
0.13,1949.0,162.62701190971686,2402.833118098183,9.0,0.0,4.653404695431559,0.0,18.41090850404514,42.41341429132547,0.9620584669750549
0.13666667,1949.0,157.9736072142853,2407.4865227936148,9.0,0.0,4.778764767692286,0.0,17.17917142894494,42.46022501690413,0.9630871937818996
