bin_center,tp,fp,tn,fn,test_sig_hist,test_bkg_hist,train_sig_hist,train_bkg_hist,sig,acc
0.56998587,1373.0,271.6666551853348,2290.9745560497477,530.0,10.0,6.17121099099686,36.0,28.270325759879693,33.8556840847735,0.8204811767751458
0.5766524,1363.0,265.49544419433795,2297.1457670407444,540.0,5.0,7.458073059688652,42.0,27.412383820728603,33.77556182706424,0.8196237883671003
0.5833188,1358.0,258.03737113464933,2304.603840100433,545.0,8.0,6.941900155266207,30.0,27.735612911959905,33.781122003804754,0.8201742296012737
0.5899854,1350.0,251.095470979383,2311.5457402556995,553.0,3.0,6.281114734660473,28.0,26.556734264668023,33.73845213402863,0.819937287179193
0.5966519,1347.0,244.81435624472257,2317.82685499036,556.0,6.0,6.0117279817042055,28.0,26.84570251190844,33.761473051147455,0.8206720337876768
0.60331833,1341.0,238.80262826301836,2323.838582972064,562.0,8.0,5.57593384470959,26.0,25.34301158281926,33.738623654212084,0.8206746600581606
0.6099849,1333.0,233.22669441830877,2329.414516816774,570.0,3.0,6.280101482612637,31.0,25.652455052691327,33.68238522409137,0.8201318340583487
0.6166514,1330.0,226.94659293569612,2335.6946182993865,573.0,11.0,5.619577342482272,41.0,25.924915164039515,33.706587270481386,0.8208663537672676
0.62331784,1319.0,221.32701559321387,2341.314195641869,584.0,10.0,5.422062044617655,35.0,23.917560922124235,33.60766420814526,0.819661504921825
0.6299844,1309.0,215.9049535485962,2346.7362576864866,594.0,8.0,6.239362131515413,48.0,25.168979116279143,33.52109979306406,0.8186363580865027
0.63665086,1301.0,209.66559141708078,2352.975619818002,602.0,7.0,5.9629569573148675,32.0,22.621318619979945,33.472883646223885,0.8182420949146081
0.64331734,1294.0,203.7026344597659,2358.9385767753165,609.0,10.0,5.256072567435133,41.0,24.391824572361067,33.43655147197573,0.8180098677844758
0.6499839,1284.0,198.44656189233078,2364.1946493427517,619.0,11.0,5.676767679128057,34.0,24.12729596093496,33.3484382476552,0.8169475505923491
0.65665036,1273.0,192.76979421320272,2369.87141702188,630.0,9.0,7.023673473250292,41.0,23.38593083991308,33.25029630309562,0.8157555084937858
0.66331685,1264.0,185.74612073995243,2376.8950904951303,639.0,7.0,5.355399300676718,36.0,22.9326674976721,33.197172586441404,0.8153129457277092
0.6699834,1257.0,180.39072143927572,2382.250489795807,646.0,14.0,4.748440181972519,40.0,24.099965476603533,33.1549104422546,0.8149446669920182
