bin_center,tp,fp,tn,fn,test_sig_hist,test_bkg_hist,train_sig_hist,train_bkg_hist,sig,acc
-4.6984444,0.9999999999999999,1.0,0.0,0.0,0.0,0.3744620674980392,0.0,0.36465677942918145,0.7071067811865474,0.49999999999999994
-4.468231,0.9999999999999999,0.6255379325019609,0.3744620674980392,0.0,0.0,0.11809514606463753,0.0,0.11093888626790094,0.7843347300198341,0.6872310337490195
-4.238019,1.0,0.5074427864373232,0.4925572135626767,0.0,0.0,0.09840660799331025,0.0,0.09868721607452788,0.8144784183137376,0.7462786067813384
-4.007806,0.9999999999999999,0.4090361784440132,0.5909638215559869,0.0,0.0,0.06605994422887612,0.0,0.07603217217570991,0.8424398999810907,0.7954819107779934
-3.7775927,0.9999999999999999,0.342976234215137,0.657023765784863,0.0,0.0,0.09196432152622924,0.0,0.0993508747335595,0.8629106644716443,0.8285118828924315
-3.54738,1.0,0.25101191268890777,0.7489880873110922,0.0,0.0,0.04484400398556866,0.0,0.05609211048553181,0.8940653777695909,0.8744940436555462
-3.3171668,0.9999999999999999,0.20616790870333904,0.7938320912966609,0.0,0.0,0.03648781615780427,0.0,0.03812760698217204,0.9105338909133289,0.8969160456483305
-3.086954,0.9999999999999999,0.16968009254553482,0.8303199074544652,0.0,0.0,0.027289494749461626,0.0,0.025823085334554265,0.9246267437985242,0.9151599537272326
-2.856741,0.9999999999999999,0.1423905977960732,0.8576094022039268,0.0,0.0,0.019173851503682043,0.0,0.018979598031838244,0.9356053358334402,0.9288047011019634
-2.6265283,0.9999999999999999,0.12321674629239117,0.8767832537076088,0.0,0.022164634994599194,0.024345557153205875,0.0,0.022659515188017725,0.9435571611883324,0.9383916268538044
-2.396315,0.9778353650054008,0.0988711891391853,0.9011288108608146,0.022164634994599194,0.0,0.01790282853321457,0.0,0.012773024696459695,0.9423604737363394,0.9394820879331077
-2.1661024,0.9778353650054007,0.08096836060597072,0.9190316393940292,0.022164634994599194,0.0,0.014726458369898674,0.0,0.010861761979366447,0.9502940494005078,0.948433502199715
-1.9358894,0.9778353650054007,0.06624190223607206,0.9337580977639279,0.022164634994599194,0.0,0.013329813966986974,0.0,0.009292880574392693,0.9569724170031111,0.9557967313846644
-1.7056764,0.9778353650054008,0.05291208826908506,0.9470879117309149,0.022164634994599194,0.0,0.007036015727007011,0.0,0.007062897008258657,0.9631404105313754,0.9624616383681579
-1.4754635,0.9778353650054007,0.045876072542078046,0.9541239274579218,0.022164634994599194,0.0,0.004299082645491194,0.0,0.007319273318662532,0.9664445969353394,0.9659796462316613
-1.2452506,0.9778353650054007,0.041576989896586855,0.958423010103413,0.022164634994599194,0.0,0.005623243339869036,0.0,0.007615338128060416,0.9684803060071142,0.968129187554407
-1.0150377,0.9778353650054007,0.03595374655671782,0.9640462534432823,0.022164634994599194,0.0,0.010527492736015031,0.0,0.007996908060777344,0.9711625548734029,0.9709408092243415
-0.7848247,0.9778353650054007,0.025426253820702793,0.9745737461792974,0.022164634994599194,0.0,0.003543784459449293,0.0,0.004564020236283563,0.9762445922026668,0.9762045555923491
-0.5546118,0.9778353650054008,0.0218824693612535,0.9781175306387466,0.022164634994599194,0.0,0.002443435510857863,0.0,0.003821790281618498,0.977973349974587,0.9779764478220737
-0.32439888,0.9778353650054007,0.019439033850395637,0.9805609661496045,0.022164634994599194,0.0,0.0017657033727207666,0.0,0.004237195714789898,0.9791706898933795,0.9791981655775026
-0.09418595,0.9778353650054007,0.01767333047767487,0.9823266695223253,0.022164634994599194,0.02847688584763878,0.0019226032754615307,0.0,0.0023608084580941506,0.980038667762994,0.980081017263863
0.13602698,0.949358479157762,0.01575072720221334,0.9842492727977868,0.05064152084223797,0.0,0.002488038032858071,0.0,0.0014671738679513948,0.9663668072679061,0.9668038759777744
0.3662399,0.949358479157762,0.013262689169355265,0.9867373108306449,0.05064152084223797,0.028213719178631285,0.0009280734512182595,0.0,0.0013773208586877154,0.9676148609408719,0.9680478949942034
0.59645283,0.9211447599791306,0.012334615718137008,0.9876653842818631,0.07885524002086926,0.0,0.0026478469600636555,0.0030140629372365033,0.0016035804155516654,0.9534008227613332,0.9544050721304969
0.82666576,0.9211447599791307,0.00968676875807335,0.9903132312419268,0.07885524002086926,0.0,0.0014531910165009032,0.0,0.0012263141348890989,0.9547558836233092,0.9557289956105288
1.0568787,0.9211447599791307,0.008233577741572448,0.9917664222584277,0.07885524002086926,0.027809299997340976,0.001539072213189819,0.0,0.0016998084387897078,0.9555020279454818,0.9564555911187792
1.2870916,0.8933354599817896,0.006694505528382628,0.9933054944716175,0.10666454001821024,0.04733504252599572,0.0012523393440872083,0.009876953999315891,0.0004426830086598468,0.9416425801758583,0.9433204772267036
1.5173045,0.846000417455794,0.00544216618429542,0.9945578338157047,0.15399958254420595,0.0,0.0007046721774366052,0.037652606591845536,0.00021831221148163116,0.91683860955409,0.9202791256357494
1.7475175,0.846000417455794,0.004737494006858815,0.9952625059931414,0.15399958254420595,0.0,6.786849073599207e-05,0.02203942356335045,0.00043679488773890323,0.9172182428817073,0.9206314617244677
1.9777304,0.846000417455794,0.004669625516122823,0.9953303744838774,0.15399958254420595,0.0,0.0010145482756826294,0.0,0.0004002006824964772,0.9172548310845986,0.9206653959698357
2.2079434,0.846000417455794,0.003655077240440194,0.99634492275956,0.15399958254420595,0.0,0.0002893260950998594,0.0,0.0003423165424985568,0.9178023010171548,0.921172670107677
