variables,importance_mN1p5_ctau10
C_Hnl_vertex_cos2D,0.26662186
C_mu_Ds_BS_ips_xy,0.17339675
C_mu_Ds_pt,0.11959891
C_mu_Hnl_pt,0.10240875
C_pi_BS_ips_xy,0.06382576
C_Hnl_vertex_2DSig_BS,0.061448358
C_mu1mu2_dr,0.046522096
C_pi_pt,0.03385147
C_Ds_vertex_cos2D,0.030146398
C_Hnl_vertex_prob,0.029488603
C_Ds_vertex_prob,0.021484565
C_Ds_pt,0.017044036
C_Hnl_vertex_cos3D,0.015867407
C_pi_BS_ip_xy,0.007839822
C_mu_Hnl_BS_ips_xy,0.0056816693
C_mu2pi_dr,0.004773555
