variables,importance_mN1p0_ctau10
C_Hnl_vertex_cos2D,0.22007173
C_mu_Ds_pt,0.15873186
C_mu_Ds_BS_ips_xy,0.13725458
C_pi_BS_ips_xy,0.11260967
C_Hnl_vertex_2DSig_BS,0.091166705
C_mu1mu2_dr,0.05975384
C_pi_pt,0.050720897
C_Hnl_vertex_cos3D,0.042640742
C_mu_Hnl_BS_ips_xy,0.03555672
C_Ds_vertex_cos2D,0.033483155
C_mu_Hnl_pt,0.024750648
C_mu2pi_dr,0.018223487
C_Ds_pt,0.011192618
C_Hnl_vertex_prob,0.0038433718
C_Ds_vertex_prob,0.0
C_pi_BS_ip_xy,0.0
