variables,importance_mN1p25_ctau10
C_Hnl_vertex_cos2D,0.5730985
C_pi_BS_ip_xy,0.0778589
C_Hnl_vertex_2DSig_BS,0.070213385
C_Ds_vertex_cos2D,0.059752107
C_mu_Hnl_BS_ips_xy,0.058943175
C_mu_Ds_BS_ips_xy,0.031496614
C_mu_Ds_pt,0.024360577
C_mu1mu2_dr,0.022427304
C_Hnl_vertex_cos3D,0.022061113
C_mu_Hnl_pt,0.018513514
C_Ds_pt,0.015829999
C_pi_pt,0.013933682
C_mu2pi_dr,0.011511214
C_Ds_vertex_prob,0.0
C_Hnl_vertex_prob,0.0
C_pi_BS_ips_xy,0.0
