variables,importance_mN1p25_ctau10
C_Hnl_vertex_cos2D,0.40936187
C_mu_Ds_BS_ips_xy,0.12772818
C_mu_Ds_pt,0.06405136
C_Hnl_vertex_2DSig_BS,0.06329944
C_pi_BS_ips_xy,0.051132698
C_Ds_vertex_cos2D,0.04585216
C_Ds_pt,0.044737913
C_pi_pt,0.030615568
C_Ds_vertex_prob,0.03039314
C_mu1mu2_dr,0.027615665
C_mu2pi_dr,0.025788939
C_pi_BS_ip_xy,0.024554772
C_mu_Hnl_pt,0.023653334
C_Hnl_vertex_prob,0.017289
C_Hnl_vertex_cos3D,0.013925976
C_mu_Hnl_BS_ips_xy,0.0
