variables,importance_mN1p5_ctau10
C_Hnl_vertex_cos2D,0.5589087
C_mu_Hnl_BS_ips_xy,0.076732956
C_pi_BS_ip_xy,0.06474161
C_mu_Ds_pt,0.049348176
C_mu_Ds_BS_ips_xy,0.041231062
C_Hnl_vertex_2DSig_BS,0.035028476
C_Ds_pt,0.034360446
C_Ds_vertex_cos2D,0.033912446
C_mu1mu2_dr,0.03231541
C_mu_Hnl_pt,0.031300344
C_pi_pt,0.02281435
C_Ds_vertex_prob,0.01233941
C_Hnl_vertex_cos3D,0.0050997427
C_mu2pi_dr,0.0018669036
C_Hnl_vertex_prob,0.0
C_pi_BS_ips_xy,0.0
