variables,importance_mN1p25_ctau10
C_Hnl_vertex_cos2D,0.326886
C_mu_Ds_BS_ips_xy,0.10053212
C_pi_BS_ips_xy,0.094909355
C_mu_Ds_pt,0.0947758
C_Hnl_vertex_2DSig_BS,0.06769195
C_mu_Hnl_pt,0.06458097
C_pi_pt,0.037447136
C_mu1mu2_dr,0.035171296
C_Hnl_vertex_cos3D,0.030008372
C_pi_BS_ip_xy,0.02790234
C_Ds_pt,0.025878714
C_Ds_vertex_prob,0.021431558
C_mu2pi_dr,0.020844696
C_Ds_vertex_cos2D,0.0188019
C_mu_Hnl_BS_ips_xy,0.01776141
C_Hnl_vertex_prob,0.015376398
