bin_center,tp,fp,tn,fn,test_sig_hist,test_bkg_hist,train_sig_hist,train_bkg_hist,sig,acc
0.0033333334,1903.0,2562.6412112350813,0.0,0.0,0.0,127.71156869870708,2.0,528.6735874829121,28.477173075466485,0.42614260975831497
0.01,1903.0,2434.929642536374,127.71156869870708,0.0,1.0,411.852772363064,6.0,1635.4048617063356,28.893325910755305,0.45474131768348336
0.016666666,1902.0,2023.0768701733105,539.5643410617711,1.0,2.0,312.6152270137927,13.0,1284.7136954787973,30.358927800483958,0.5467444036746735
0.023333333,1900.0,1710.4616431595177,852.1795680755638,3.0,1.0,194.66001655581354,7.0,787.723559292903,31.620754851195272,0.6163010949360129
0.030000001,1899.0,1515.8016266037043,1046.8395846313774,4.0,0.0,136.09426145168794,5.0,541.7350743496118,32.49692176979996,0.6596677711635132
0.03666667,1899.0,1379.7073651520163,1182.9338460830654,4.0,2.0,115.143206483282,8.0,462.88858368695725,33.16451393662237,0.6901436323028471
0.043333333,1897.0,1264.5641586687343,1298.0770525663474,6.0,1.0,98.60643609882626,3.0,394.71976153816195,33.73776673219146,0.7154800176350646
0.05,1896.0,1165.957722569908,1396.6834886651736,7.0,0.0,78.53530933642645,2.0,312.4876511940846,34.264053383539334,0.7373372227892222
0.056666665,1896.0,1087.4224132334814,1475.2187980016001,7.0,2.0,60.74394454226798,6.0,251.90831067676967,34.712105651312044,0.7549237922473416
0.06333333,1894.0,1026.6784686912135,1535.9627425438682,9.0,2.0,52.06439224974708,2.0,207.1254669958978,35.04597123347289,0.768078441661288
0.07,1892.0,974.6140764414663,1588.0271347936152,11.0,0.0,43.676652051895815,5.0,171.6339529783527,35.337556632036225,0.7792894615085142
0.07666667,1892.0,930.9374243895704,1631.703786845511,11.0,0.0,38.10255858068032,3.0,141.6415581674439,35.60987969160482,0.7890700618715729
0.08333333,1892.0,892.8348658088903,1669.8063454261915,11.0,0.0,33.67308213639989,2.0,131.55284095509919,35.852662116799095,0.7976024442951357
0.09,1892.0,859.1617836724903,1703.4794275625914,11.0,2.0,26.470123544332477,5.0,110.44361639392515,36.07140569614061,0.8051429251675537
0.096666664,1890.0,832.6916601281579,1729.9495511069238,13.0,0.0,24.86600962464594,2.0,99.96335156220172,36.221178261011836,0.8106225690499973
0.10333334,1890.0,807.825650503512,1754.8155607315698,13.0,0.0,22.476152773230986,1.0,90.70832048456363,36.3877216922436,0.8161908644970399
0.11,1890.0,785.349497730281,1777.2917135048006,13.0,1.0,20.352865330835854,4.0,83.83205119597199,36.54025231057303,0.8212239945023532
0.11666667,1889.0,764.9966323994452,1797.6445788356364,14.0,0.0,17.97823791540244,1.0,76.02180821087437,36.66753998064127,0.8255577204815353
0.123333335,1889.0,747.0183944840428,1815.6228167510387,14.0,0.0,18.6865841179198,1.0,66.2691800675915,36.792367935620746,0.8295836233843864
0.13,1889.0,728.3318103661229,1834.3094008689586,14.0,0.0,15.357290318634654,2.0,63.69197749469082,36.92347490562023,0.8337681476741806
