variables,importance_mN1p8_ctau10
C_mu_Ds_BS_ips_xy,0.26661554
C_mu_Ds_pt,0.24972787
C_mu1mu2_dr,0.12532268
C_pi_BS_ips_xy,0.10035998
C_Hnl_vertex_cos2D,0.0820314
C_mu_Hnl_pt,0.06018455
C_pi_BS_ip_xy,0.026909623
C_Hnl_vertex_2DSig_BS,0.022881974
C_Ds_pt,0.020927506
C_pi_pt,0.017787984
C_mu2pi_dr,0.013640227
C_Ds_vertex_cos2D,0.0063930443
C_Hnl_vertex_prob,0.0041784854
C_Ds_vertex_prob,0.003039133
C_Hnl_vertex_cos3D,0.0
C_mu_Hnl_BS_ips_xy,0.0
