variables,importance_mN1p5_ctau10
C_Hnl_vertex_cos2D,0.4078927
C_mu_Ds_BS_ips_xy,0.12577197
C_mu_Hnl_pt,0.07610025
C_pi_BS_ips_xy,0.072904654
C_mu_Ds_pt,0.04285437
C_Hnl_vertex_2DSig_BS,0.041857224
C_pi_BS_ip_xy,0.03943566
C_mu1mu2_dr,0.038656216
C_Ds_vertex_prob,0.03570945
C_mu_Hnl_BS_ips_xy,0.02606273
C_Ds_vertex_cos2D,0.022903977
C_Ds_pt,0.01696865
C_pi_pt,0.014372536
C_Hnl_vertex_cos3D,0.013731073
C_Hnl_vertex_prob,0.013066031
C_mu2pi_dr,0.011712529
